object_id,global_id,faa_identifier,name,latitude,longitude,airport_geom,elevation,icao_id,airport_type,service_city,state_abbreviation,country,oper_status,airport_use,iap_exists,dod_hiflip,far_91,far_93,mil_code,airspace_analysis,us_high,us_low,ak_high,ak_low,us_area,pacific
12656,62939E54-C22D-40EA-B3D1-CACF027F73AF,4F1,Westport,36.22142306,-96.34650765,POINT(-96.34650765 36.22142306),901,,Aerodome,Westport,OK,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12412,F485EDB9-4A9D-4213-8506-E2A29DA8D0AA,97F,Crazy Horse Muni,34.54648133,-97.1083605,POINT(-97.1083605 34.54648133),940,,Aerodome,Davis,OK,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12351,525BF1F8-F98C-4B62-80CC-15C5738B61FC,0K6,Dobie's,36.17935364,-95.58028245,POINT(-95.58028245 36.17935364),610,,Aerodome,Inola,OK,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12400,C91EED4D-F141-46E5-9F5E-BFB0496228B7,K11,Sam Riggs Arpk,36.21817309,-95.65189636,POINT(-95.65189636 36.21817309),580,,Aerodome,Claremore,OK,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12605,53651C9A-4327-411E-B14D-C0BD03E3B098,4S4,Skyport,45.58261987,-123.0528996,POINT(-123.0528996 45.58261987),174,,Aerodome,Cornelius,OR,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13326,5E289C47-6F59-4A02-A472-DBD704CA6E0D,31D,Inter Co,40.33341046,-79.77921546,POINT(-79.77921546 40.33341046),1250,,Aerodome,Irwin,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13541,88E92F92-75FA-4818-BAAE-9175CD6632F0,P15,Brokenstraw,41.83294854,-79.36067406,POINT(-79.36067406 41.83294854),1230,,Aerodome,Pittsfield,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13530,12DE4F53-B801-4117-8E2C-7B94C23EA14F,1N3,Albert,40.97169564,-78.24298198,POINT(-78.24298198 40.97169564),1784,,Aerodome,Philipsburg,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13501,EB69327E-C949-426F-A775-866549A5CE61,7G4,Blue Knob Valley,40.39650525,-78.45370283,POINT(-78.45370283 40.39650525),1270,,Aerodome,Newry,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13596,9E256708-EF55-480A-9336-1322031FDA8C,0P2,Shoestring Aviation Airfield,39.79626215,-76.64639528,POINT(-76.64639528 39.79626215),1000,,Aerodome,Stewartstown,PA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
